Date,Position,Track,Artists,Streams
2020-01-01,1,Tusa,"KAROL G, Nicki Minaj",344475
2020-01-01,2,Alocao (With Bad Gyal),Omar Montes,253372
2020-01-01,3,Dance Monkey,Tones And I,216578
2020-01-01,4,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",192148
2020-01-01,5,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",188835
2020-01-01,6,Indeciso,"Reik, J Balvin, Lalo Ebratt",178743
2020-01-01,7,Vete,Bad Bunny,178724
2020-01-01,8,Zorra,Bad Gyal,178187
2020-01-01,9,Whine Up,"Nicky Jam, Anuel AA",174681
2020-01-01,10,Blanco,J Balvin,171215
2020-01-01,11,+,"Aitana, Cali Y El Dandee",165164
2020-01-01,12,Aventura,"Lunay, Ozuna, Anuel AA",148271
2020-01-01,13,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",144469
2020-01-01,14,Easy - Remix,"Jhay Cortez, Ozuna",143325
2020-01-01,15,Fantasias,"Rauw Alejandro, Farruko",135951
2020-01-01,16,Rueda,Chimbala,133162
2020-01-01,17,Si por mi fuera,Beret,131387
2020-01-01,18,"Yo x Ti, Tu x Mi","ROSALÍA, Ozuna",124730
2020-01-01,19,Adicto (with Anuel AA & Ozuna),Tainy,120407
2020-01-01,20,La Rubia - Remix 2,"La Nueva Escuela, Omar Montes",115707
2020-01-01,21,Hasta Que Salga el Sol,Ozuna,112070
2020-01-01,22,Se iluminaba,"Fred De Palma, Ana Mena",110245
2020-01-01,23,Te Quemaste,"Manuel Turizo, Anuel AA",100028
2020-01-01,24,Sigues Con El,"Dímelo Flow, Arcangel, Sech",99638
2020-01-01,25,Perreo en La Luna,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",99016
2020-01-01,26,Fuera De Mi Mente,"Lérica, Juan Magán",97986
2020-01-01,27,Callaita,"Bad Bunny, Tainy",94547
2020-01-01,28,Con Altura,"ROSALÍA, J Balvin, El Guincho",94266
2020-01-01,29,La Cama,"Lunay, Myke Towers",91554
2020-01-01,30,B11 (feat. Myke Towers),"Rvssian, Darell, Zion & Lennox",91002
2020-01-01,31,Si Te Vas,"Sech, Ozuna",90374
2020-01-01,32,Prendío,Rvfv,88724
2020-01-01,33,Contando Lunares (feat. Cruz Cafuné),Don Patricio,88405
2020-01-01,34,Bellaquita - Remix,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",85092
2020-01-01,35,Prendio (Remix),"Rvfv, Omar Montes, Daviles de Novelda",84981
2020-01-01,36,Fantasía,Ozuna,84574
2020-01-01,37,Otro Trago - Remix,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",82112
2020-01-01,38,ROXANNE,Arizona Zervas,81034
2020-01-01,39,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",80447
2020-01-01,40,Quizas,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",78815
2020-01-01,41,Que Calor (with J Balvin & El Alfa),"Major Lazer, Diplo",77981
2020-01-01,42,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles, Natti Natasha, Farruko",77602
2020-01-01,43,Goteo,Duki,76059
2020-01-01,44,105 F Remix,"KEVVO, Farruko, Chencho Corleone, Arcangel, Darell, Ñengo Flow, Brytiago, Myke Towers",71618
2020-01-01,45,De Tranquilote,"Danny Romero, Lérica",71444
2020-01-01,46,Tabú,"Pablo Alborán, Ava Max",69673
2020-01-01,47,A Dónde Vamos,Morat,69495
2020-01-01,48,Indios y Vaqueros,"Sinsinati, Álvaro De Luna",67443
2020-01-01,49,Señorita,"Shawn Mendes, Camila Cabello",67005
2020-01-01,50,Qué Bonito Es Querer,Manuel Carrasco,66397
2020-01-01,51,Tutu,"Camilo, Pedro Capó",62452
2020-01-01,52,Que Tire Pa Lante,Daddy Yankee,61798
2020-01-01,53,LA CANCIÓN,"J Balvin, Bad Bunny",61595
2020-01-01,54,Falling,Trevor Daniel,60911
2020-01-01,55,Ella No Quiere Rosé,"Rvfv, Bandaga",60898
2020-01-01,56,Con Calma,"Daddy Yankee, Snow",59523
2020-01-01,57,Memories,Maroon 5,59431
2020-01-01,58,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",58917
2020-01-01,59,Calma - Remix,"Pedro Capó, Farruko",57204
2020-01-01,60,LowKey,Bryant Myers,55567
2020-01-01,61,Hookah,Bad Gyal,54259
2020-01-01,62,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,53601
2020-01-01,63,Infeliz,"Arcangel, Bad Bunny",52519
2020-01-01,64,Presiento,"Morat, Aitana",51667
