,Track,Artists,id,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Tusa,"KAROL G, Nicki Minaj",7k4t7uLgtOxPwTpFmtJNTY,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085
1,Alocao (With Bad Gyal),Omar Montes,6RyuoOJXNzlVWpfC5xQyeI,"['flamenco urbano', 'trap latino', 'urbano espanol']",0.673,0.752,11,-4.705,0,0.0567,0.214,1.53e-06,0.106,0.699,178.005
2,Dance Monkey,Tones And I,2XU0oxnq2qxCpomAAuJY8K,"['australian pop', 'pop']",0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027
3,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",2ksOAxtIxY8yElEWw8RhgK,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027
4,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",6cy3ki60hLwimwIje7tALf,"['dance pop', 'pop', 'pop rap']",0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994
5,Indeciso,"Reik, J Balvin, Lalo Ebratt",59s0s39NFWScuHDbHytI14,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']",0.738,0.748,0,-4.902,1,0.0453,0.182,0,0.11,0.896,94.949
6,Vete,Bad Bunny,5DxXgozhkPLgrbKFY91w0c,"['latin', 'reggaeton', 'trap latino']",0.886,0.672,1,-4.394,1,0.188,0.0363,8.78e-06,0.101,0.526,91.976
7,Zorra,Bad Gyal,0OP1RzrglC008kj79Httv3,"['rap catala', 'rap latina', 'trap catala', 'trap latino', 'urbano espanol']",0.637,0.65,11,-6.646,1,0.185,0.682,2.2e-06,0.0786,0.736,176.075
8,Whine Up,"Nicky Jam, Anuel AA",2pWOMNQJW3g2zmGjP0Vkb0,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",0.817,0.665,9,-6.224,0,0.0758,0.0549,0,0.103,0.662,104.957
9,Blanco,J Balvin,2rc7BkzO8qepMFAxHtOrXc,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",0.87,0.706,9,-5.395,0,0.126,0.0253,0.0063,0.0872,0.593,100.013
10,+,"Aitana, Cali Y El Dandee",5Cbo7oz78gqkzV3EAM63VA,"['latin pop', 'latin talent show', 'spanish pop']",0.561,0.666,8,-4.243,1,0.0322,0.106,0,0.123,0.675,160.019
11,Aventura,"Lunay, Ozuna, Anuel AA",37zdqI4r1gswIzczSBkRon,"['latin', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino']",0.729,0.726,5,-3.208,1,0.0422,0.223,0,0.101,0.876,92.025
