Track,acousticness,danceability,energy,liveness,speechiness,valence
+,0.10600000000000089,0.5610000000000046,0.6659999999999973,0.12299999999999972,0.03219999999999972,0.675000000000004
+Linda,0.13100000000000012,0.66,0.503,0.12999999999999992,0.3399999999999999,0.3960000000000003
... y vuelo,0.0735,0.476,0.789,0.0966,0.114,0.389
100 Preguntas,0.689,0.7680000000000002,0.4619999999999999,0.11400000000000003,0.03690000000000001,0.6050000000000002
105 F Remix,0.3679999999999996,0.899999999999999,0.7539999999999996,0.286,0.15600000000000003,0.7409999999999998
11 PM,0.2169999999999996,0.7770000000000008,0.7120000000000021,0.0909999999999999,0.2770000000000004,0.6800000000000014
11 RAZONES,0.005989999999999998,0.5500000000000003,0.8739999999999998,0.21400000000000008,0.05079999999999998,0.348
120,0.4510000000000001,0.6359999999999996,0.6559999999999999,0.2870000000000001,0.06760000000000005,0.439
15+1,0.3890000000000001,0.795,0.5019999999999999,0.08170000000000001,0.2640000000000001,0.535
20 de abril,0.0274,0.611,0.866,0.278,0.0285,0.826
2018: Odisea en el Espacio,0.468,0.557,0.646,0.113,0.0312,0.433
23 de Junio,0.616,0.442,0.473,0.0693,0.0394,0.547
24H,0.747,0.941,0.637,0.11,0.223,0.691
25/8,0.09199999999999986,0.761000000000001,0.7319999999999995,0.07160000000000008,0.05489999999999996,0.542000000000001
3 de Abril,0.7650000000000003,0.5109999999999996,0.596,0.08789999999999998,0.4049999999999998,0.48100000000000015
34 Amor y Mafia,0.3310000000000006,0.8439999999999979,0.7710000000000007,0.08929999999999984,0.04300000000000009,0.8289999999999975
34+35,0.23700000000000004,0.8299999999999992,0.5850000000000005,0.24799999999999997,0.09399999999999994,0.4849999999999997
4 besos,0.21600000000000072,0.8650000000000031,0.6579999999999968,0.03250000000000001,0.07999999999999956,0.712999999999996
4K,0.3569999999999995,0.925000000000002,0.9000000000000032,0.12399999999999971,0.14399999999999935,0.8040000000000015
5 Sentidos,0.09609999999999988,0.6440000000000006,0.7349999999999995,0.11599999999999977,0.04729999999999992,0.6640000000000011
911,0.0294,0.789,0.813,0.519,0.0374,0.42
<3,0.6020000000000002,0.6310000000000001,0.6649999999999995,0.15200000000000008,0.22899999999999981,0.6340000000000002
= (IGUAL),0.14,0.43400000000000005,0.7489999999999999,0.20199999999999999,0.0509,0.262
A Correr los Lakers (Remix),0.1059999999999999,0.753,0.6910000000000012,0.17200000000000026,0.06609999999999985,0.30099999999999927
