,Track,Artists,id,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Artists_1,Artists_2,Artists_3,genres_1,genres_2,genres_3
0,Tusa,"['KAROL G', 'Nicki Minaj']",7k4t7uLgtOxPwTpFmtJNTY,"['reggaeton', 'rap', 'latin']",0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,KAROL G,Nicki Minaj,,reggaeton,rap,latin
1,Alocao (With Bad Gyal),['Omar Montes'],6RyuoOJXNzlVWpfC5xQyeI,"['urban', 'rap']",0.673,0.752,11,-4.705,0,0.0567,0.214,1.53e-06,0.106,0.699,178.005,Omar Montes,,,urban,rap,
2,Dance Monkey,['Tones And I'],2XU0oxnq2qxCpomAAuJY8K,['pop'],0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,Tones And I,,,pop,,
3,China,"['Anuel AA', 'Daddy Yankee', 'KAROL G', 'J Balvin', 'Ozuna']",2ksOAxtIxY8yElEWw8RhgK,"['reggaeton', 'rap', 'latin']",0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,Anuel AA,Daddy Yankee,KAROL G,reggaeton,rap,latin
4,RITMO (Bad Boys For Life),"['Black Eyed Peas', 'J Balvin']",6cy3ki60hLwimwIje7tALf,"['pop', 'rap']",0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,Black Eyed Peas,J Balvin,,pop,rap,
5,Indeciso,"['Reik', 'J Balvin', 'Lalo Ebratt']",59s0s39NFWScuHDbHytI14,"['pop', 'latin']",0.738,0.748,0,-4.902,1,0.0453,0.182,0.0,0.11,0.896,94.949,Reik,J Balvin,Lalo Ebratt,pop,latin,
6,Vete,['Bad Bunny'],5DxXgozhkPLgrbKFY91w0c,"['reggaeton', 'rap', 'latin']",0.886,0.672,1,-4.394,1,0.188,0.0363,8.78e-06,0.101,0.526,91.976,Bad Bunny,,,reggaeton,rap,latin
7,Zorra,['Bad Gyal'],0OP1RzrglC008kj79Httv3,"['rap', 'urban']",0.637,0.65,11,-6.646,1,0.185,0.682,2.2e-06,0.0786,0.736,176.075,Bad Gyal,,,rap,urban,
8,Whine Up,"['Nicky Jam', 'Anuel AA']",2pWOMNQJW3g2zmGjP0Vkb0,"['reggaeton', 'hip hop', 'rap', 'latin']",0.817,0.665,9,-6.224,0,0.0758,0.0549,0.0,0.103,0.662,104.957,Nicky Jam,Anuel AA,,reggaeton,hip hop,rap
9,Blanco,['J Balvin'],2rc7BkzO8qepMFAxHtOrXc,"['reggaeton', 'rap', 'latin']",0.87,0.706,9,-5.395,0,0.126,0.0253,0.0063,0.0872,0.593,100.013,J Balvin,,,reggaeton,rap,latin
10,+,"['Aitana', 'Cali Y El Dandee']",5Cbo7oz78gqkzV3EAM63VA,"['pop', 'latin']",0.561,0.666,8,-4.243,1,0.0322,0.106,0.0,0.123,0.675,160.019,Aitana,Cali Y El Dandee,,pop,latin,
11,Aventura,"['Lunay', 'Ozuna', 'Anuel AA']",37zdqI4r1gswIzczSBkRon,"['reggaeton', 'pop', 'rap', 'latin']",0.729,0.726,5,-3.208,1,0.0422,0.223,0.0,0.101,0.876,92.025,Lunay,Ozuna,Anuel AA,reggaeton,pop,rap
12,Hola - Remix,"['Dalex', 'Lenny Tavárez', 'Chencho Corleone', 'Juhn', 'Dímelo Flow']",5stPVcRqb4qixbafP9e8lt,"['r&b', 'reggaeton', 'rap', 'latin']",0.654,0.672,0,-5.98,0,0.311,0.471,0.0,0.0781,0.343,181.857,Dalex,Lenny Tavárez,Chencho Corleone,r&b,reggaeton,rap
13,Easy - Remix,"['Jhay Cortez', 'Ozuna']",6W1v0i3t1zSFnGqh90lepg,"['reggaeton', 'rap', 'latin']",0.891,0.748,1,-3.844,0,0.0976,0.186,2.06e-06,0.133,0.401,94.06,Jhay Cortez,Ozuna,,reggaeton,rap,latin
14,Fantasias,"['Rauw Alejandro', 'Farruko']",6mAN61JH0dzyZpWslS11jy,"['pop', 'rap']",0.879,0.703,1,-4.219,1,0.0701,0.143,0.0,0.0569,0.788,94.004,Rauw Alejandro,Farruko,,pop,rap,
15,Rueda,['Chimbala'],4NDHYPVJ5zLnR8yYZsMDsu,"['pop', 'rap', 'dembow']",0.888,0.916,9,-2.196,1,0.0922,0.165,4.36e-06,0.0519,0.96,130.04,Chimbala,,,pop,rap,dembow
16,Si por mi fuera,['Beret'],3W87IIdSOE63W0Qyhy7r2b,"['hip hop', 'pop']",0.701,0.75,2,-5.717,1,0.0316,0.0271,0.0,0.102,0.876,150.078,Beret,,,hip hop,pop,
