links_Name_name,links_Mov1_Name,links_Mov2_Mov2,links_Mov3_Mov3,links_Mov4_Mov4,links_Nature_Nature,links_Held_Item_Held_Item,links_Ability_Ability
Pachirisu,,,,,,,
Gothitelle,,,,,,,
Gardevoir,,,,,,,
Gyarados,,,,,,,
Talonflame,,,,,,,
Garchomp,,,,,,,
Tyranitar,,,,,,,
Charizard,,,,,,,
Salamence,,,,,,,
Garchomp,,,,,,,
Lucario,,,,,,,
Rotom,,,,,,,
Zapdos,,,,,,,
Hydreigon,,,,,,,
Mawile,,,,,,,
Conkeldurr,,,,,,,
Tyranitar,,,,,,,
Aegislash,,,,,,,
Mawile,,,,,,,
Rotom,,,,,,,
Azumarill,,,,,,,
Hydreigon,,,,,,,
Machamp,,,,,,,
Venusaur,,,,,,,
,Nuzzle,,,,,,
,Psyshock,,,,,,
,Dazzling Gleam,,,,,,
,Dragon Dance,,,,,,
,Brave Bird,,,,,,
,Earthquake,,,,,,
,Rock Slide,,,,,,
,Protect,,,,,,
,Protect,,,,,,
,Protect,,,,,,
,Protect,,,,,,
,Will-o-Wisp,,,,,,
,Thunderbolt,,,,,,
,Draco Meteor,,,,,,
,Play Rough,,,,,,
,Drain Punch,,,,,,
,Rock Slide,,,,,,
,Shadow Ball,,,,,,
,Iron Head,,,,,,
,Overheat,,,,,,
,Play Rough,,,,,,
,Draco Meteor,,,,,,
,Close Combat,,,,,,
,Sludge Bomb,,,,,,
,,Follow Me,,,,,
,,Thunder Wave,,,,,
,,Psychic,,,,,
,,Waterfall,,,,,
,,Overheat,,,,,
,,Dragon Claw,,,,,
,,Stone Edge,,,,,
,,Overheat,,,,,
,,Draco Meteor,,,,,
,,Dragon Claw,,,,,
,,Close Combat,,,,,
,,Thunderbolt,,,,,
,,Hidden Power,,,,,
,,Dark Pulse,,,,,
,,Iron Head,,,,,
,,Mach Punch,,,,,
,,Dark Pulse,,,,,
,,Sacred Sword,,,,,
,,Play Rough,,,,,
,,Thunderbolt,,,,,
,,Waterfall,,,,,
,,Dark Pulse,,,,,
,,Ice Punch,,,,,
,,Giga Drain,,,,,
,,,Super Fang,,,,
,,,Tickle,,,,
,,,Moonblast,,,,
,,,Earthquake,,,,
,,,Taunt,,,,
,,,Rock Slide,,,,
,,,Crunch,,,,
,,,Heat Wave,,,,
,,,Fire Blast,,,,
,,,Rock Slide,,,,
,,,Bullet Punch,,,,
,,,Leaf Storm,,,,
,,,Thunder Wave,,,,
,,,Fire Blast,,,,
,,,Sucker Punch,,,,
,,,Rock Slide,,,,
,,,Ice Beam,,,,
,,,Substitute,,,,
,,,Sucker Punch,,,,
,,,Will-o-Wisp,,,,
,,,Aqua Jet,,,,
,,,Flamethower,,,,
,,,Knock Off,,,,
,,,Leech Seed,,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Swagger,,,
,,,,Protect,,,
,,,,Quick Guard,,,
,,,,Protect,,,
,,,,Ice Punch,,,
,,,,Solar Beam,,,
,,,,Rock Tomb,,,
,,,,Earthquake,,,
,,,,Follow Me,,,
,,,,Protect,,,
,,,,Roost,,,
,,,,Earth Power,,,
,,,,Protect,,,
,,,,Payback,,,
,,,,Fire Blast,,,
,,,,King's Shield,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Earth Power,,,
,,,,Rock Slide,,,
,,,,Protect,,,
,,,,,Impish,,
,,,,,Calm,,
,,,,,Timid,,
,,,,,Adamant,,
,,,,,Naive,,
,,,,,Jolly,,
,,,,,Jolly,,
,,,,,Modest,,
,,,,,Modest,,
,,,,,Jolly,,
,,,,,Jolly,,
,,,,,Bold,,
,,,,,Calm,,
,,,,,Modest,,
,,,,,Adamant,,
,,,,,Adamant,,
,,,,,Timid,,
,,,,,Quiet,,
,,,,,Adamant,,
,,,,,Modest,,
,,,,,Adamant,,
,,,,,Modest,,
,,,,,Jolly,,
,,,,,Calm,,
,,,,,,Sitrus Berry,
,,,,,,Leftovers,
,,,,,,Choice Scarf,
,,,,,,Gyaradosite,
,,,,,,Life Orb,
,,,,,,Focus Sash,
,,,,,,Choice Scarf,
,,,,,,Charizardite Y,
,,,,,,Haban Berry,
,,,,,,Life Orb,
,,,,,,Lucarionite,
,,,,,,Sitrus Berry,
,,,,,,Safety Goggles,
,,,,,,Choice Specs,
,,,,,,Mawilite,
,,,,,,Assault Vest,
,,,,,,Choice Scarf,
,,,,,,Weakness Policy,
,,,,,,Mawilite,
,,,,,,Sitrus Berry,
,,,,,,Wacan Berry,
,,,,,,Choice Specs,
,,,,,,Choice Scarf,
,,,,,,Venusaurite,
,,,,,,,Volt Absorb
,,,,,,,Shadow Tag
,,,,,,,Telepathy
,,,,,,,Intimidate
,,,,,,,Gale Wings
,,,,,,,Rough Skin
,,,,,,,Sand Stream
,,,,,,,Blaze
,,,,,,,Intimidate
,,,,,,,Rough Skin
,,,,,,,Inner Focus
,,,,,,,Levitate
,,,,,,,Pressure
,,,,,,,Levitate
,,,,,,,Intimidate
,,,,,,,Guts
,,,,,,,Sand Stream
,,,,,,,Stance Change
,,,,,,,Intimidate
,,,,,,,Levitate
,,,,,,,Huge Power
,,,,,,,Levitate
,,,,,,,Guts
,,,,,,,Chlorophyll
Tyranitar,,,,,,,
Mawile,,,,,,,
Hydreigon,,,,,,,
Gengar,,,,,,,
Rotom,,,,,,,
Garchomp,,,,,,,
Staraptor,,,,,,,
Aegislash,,,,,,,
Lapras,,,,,,,
Rotom,,,,,,,
Garchomp,,,,,,,
Kangaskhan,,,,,,,
Amoonguss,,,,,,,
Rotom,,,,,,,
Salamence,,,,,,,
Blastoise,,,,,,,
Aegislash,,,,,,,
Tyranitar,,,,,,,
Talonflame,,,,,,,
Politoed,,,,,,,
Gothitelle,,,,,,,
Ludicolo,,,,,,,
Lucario,,,,,,,
Mawile,,,,,,,
,Protect,,,,,,
,Protect,,,,,,
,Dark Pulse,,,,,,
,Protect,,,,,,
,Thunderbolt,,,,,,
,Protect,,,,,,
,Brave Bird,,,,,,
,Flash Cannon,,,,,,
,Hydro Pump,,,,,,
,Thunderbolt,,,,,,
,Dragon Claw,,,,,,
,Return,,,,,,
,Spore,,,,,,
,Overheat,,,,,,
,Draco Meteor,,,,,,
,Water Spout,,,,,,
,Sacred Sword,,,,,,
,Rock Slide,,,,,,
,Brave Bird,,,,,,
,Perish Song,,,,,,
,Psychic,,,,,,
,Fake Out,,,,,,
,Aura Sphere,,,,,,
,Play Rough,,,,,,
,,Rock Slide,,,,,
,,Iron Head,,,,,
,,Draco Meteor,,,,,
,,Shadow Ball,,,,,
,,Thunder Wave,,,,,
,,Earthquake,,,,,
,,Close Combat,,,,,
,,Shadow Ball,,,,,
,,Freeze-Dry,,,,,
,,Overheat,,,,,
